profile_index,failure_probability,raw_isolation_forest_score,calibrated_anomaly_score,risk_score,risk_band,final_recommended_action,confidence,confidence_level
1376,0.0,0.145593751242948,0.13195,0.039585,Normal,Normal,0.86805,HIGH
1377,0.0,0.1372713661316981,0.2773375,0.08320125,Normal,Normal,0.722662,MEDIUM
1378,0.0,0.1294779288957275,0.39136249999999995,0.11740874999999998,Normal,Normal,0.608638,MEDIUM
1379,1.0,0.13526134680927193,0.31005000000000005,0.793015,Restart Task,Restart Task,0.31005,LOW
1380,0.135,0.11515234742492064,0.54935,0.259305,Normal,Normal,0.58565,MEDIUM
1381,0.0,0.054930068225225115,0.86275,0.25882499999999997,Normal,Normal,0.13725,LOW
1382,0.0,0.10263017769794175,0.6476625,0.19429875,Normal,Normal,0.352337,LOW
1383,1.0,0.05349146352925899,0.8673124999999999,0.96019375,Restart Task,Restart Task,0.867312,HIGH
1384,0.0,0.12742168834831086,0.41605000000000003,0.12481500000000001,Normal,Normal,0.58395,MEDIUM
1385,0.0,0.131969327471206,0.35850000000000004,0.10755,Normal,Normal,0.6415,MEDIUM
1386,0.905,0.03994428031547603,0.8987375,0.9031212499999999,Restart Task,Restart Task,0.993737,HIGH
1387,0.995,0.10109784384545611,0.6577,0.89381,Restart Task,Restart Task,0.6627,MEDIUM
1388,0.0,0.07531271462884187,0.7886875,0.23660625,Normal,Normal,0.211313,LOW
1389,0.995,0.05816854597690568,0.8529875,0.95239625,Restart Task,Restart Task,0.857988,HIGH
1390,0.0,0.13677987160622912,0.28588749999999996,0.08576624999999999,Normal,Normal,0.714113,MEDIUM
1391,0.01,0.11951551178949593,0.5058750000000001,0.15876250000000003,Normal,Normal,0.504125,LOW
1392,0.0,0.11661889378023654,0.535525,0.1606575,Normal,Normal,0.464475,LOW
1393,0.995,0.1355950563107337,0.305125,0.7880375,Restart Task,Restart Task,0.310125,LOW
1394,1.0,0.11642300284943913,0.537725,0.8613175,Restart Task,Restart Task,0.537725,LOW
1395,1.0,0.13217421054960055,0.355275,0.8065825,Restart Task,Restart Task,0.355275,LOW
1396,0.0,0.12865904173560272,0.40156250000000004,0.12046875000000001,Normal,Normal,0.598437,MEDIUM
1397,0.0,0.1325769645666725,0.34938749999999996,0.10481624999999999,Normal,Normal,0.650613,MEDIUM
1398,0.0,0.13830077297879662,0.259775,0.07793249999999999,Normal,Normal,0.740225,MEDIUM
1399,0.0,0.10707223189377135,0.6169625000000001,0.18508875000000002,Normal,Normal,0.383037,LOW
1400,0.0,0.06494089995711122,0.8296125,0.24888375,Normal,Normal,0.170388,LOW
1401,0.01,0.08942185080482734,0.7270875,0.22512625,Normal,Normal,0.282913,LOW
1402,0.0,0.08322919138305823,0.7565125,0.22695375,Normal,Normal,0.243487,LOW
1403,0.0,0.10312368332334015,0.6445125,0.19335375000000002,Normal,Normal,0.355487,LOW
1404,0.005,0.03207586372623983,0.9158,0.27824,Normal,Normal,0.0892,LOW
1405,0.0,0.12202729556147085,0.47924999999999995,0.143775,Normal,Normal,0.52075,LOW
1406,0.0,0.10055723874579647,0.6617875,0.19853625,Normal,Normal,0.338213,LOW
1407,0.0,0.08613917775402535,0.7436625,0.22309874999999998,Normal,Normal,0.256337,LOW
1408,0.0,-0.0663964840922937,0.9806,0.29418,Normal,Normal,0.0194,LOW
1409,0.0,0.11254894784884745,0.5722625,0.17167875,Normal,Normal,0.427737,LOW
1410,1.0,0.09705246083734836,0.6848000000000001,0.90544,Restart Task,Restart Task,0.6848,MEDIUM
1411,0.0,0.10701323521454731,0.6173875,0.18521625,Normal,Normal,0.382613,LOW
1412,0.0,0.06455124162862969,0.831075,0.2493225,Normal,Normal,0.168925,LOW
1413,0.0,0.1372713661316981,0.2773375,0.08320125,Normal,Normal,0.722662,MEDIUM
1414,0.01,0.1462851510741064,0.12061250000000001,0.04318375,Normal,Normal,0.889387,HIGH
1415,0.0,0.09083695093783523,0.720075,0.2160225,Normal,Normal,0.279925,LOW
1416,1.0,0.1297984999443244,0.38685,0.816055,Restart Task,Restart Task,0.38685,LOW
1417,0.005,0.014840758839676282,0.9386125,0.28508374999999997,Normal,Normal,0.066388,LOW
1418,0.0,0.1145000847162978,0.55465,0.166395,Normal,Normal,0.44535,LOW
1419,0.0,-0.003808926367997123,0.952275,0.2856825,Normal,Normal,0.047725,LOW
1420,0.99,0.0942275213240854,0.7011125,0.9033337499999999,Restart Task,Restart Task,0.711113,MEDIUM
1421,0.0,0.13299187710140858,0.34348749999999995,0.10304624999999998,Normal,Normal,0.656513,MEDIUM
1422,0.0,0.1170762326717496,0.531175,0.15935249999999998,Normal,Normal,0.468825,LOW
